nama;cash;cash_type;cash_score;property_plant_equipment;sumber_asset_lainnya;asset_lainnya;asset_lainnya_type;asset_lainnya_score;sumber_asset_keluarga;asset_keluarga;asset_keluarga_type;asset_keluarga_score;total_asset;total_asset_type;total_asset_score;total_hutang;modal;debt_to_asset_ratio;debt_to_asset_ratio_cat;debt_to_asset_ratio_score;equity_to_asset_ratio;equity_to_asset_ratio_cat;equity_to_asset_ratio_score;debt_to_equity_ratio;debt_to_equity_ratio_cat;debt_to_equity_ratio_score;cash_financial_inflow;cash_financial_outflow;cash_flow_financial;cash_flow_financial_type;cash_flow_financial_score;target
Gary Garcia;44760000;>=25.000.000;1000;84012000;inventory;178403000;>=100000000 dan < 200000000;750;Investasi;748211000;>= 500000000 dan <1000000000;500;1055386000;>= 1000000000 dan <5000000000;500;765457000;289929000;0,73;bad;270;0,27;bad;270;2,64;bad;-1640;81960000;89996000;-8036000;arus kas negatif;0;206,25
Dakota Hernandez;45304000;>=25.000.000;1000;42715000;asset keluarga ;224532000;>=200000000;1000;Kendaraan;4819772000;>=2000000000;1000;5132323000;>=5000000000 dan < 7000000000;500;633335000;4498988000;0,12;excellent;880;0,88;excellent;880;0,14;excellent;860;34811000;96603000;-61792000;arus kas negatif;0;765
Veronica Ayers;6656000;>= 5.000.000 dan <15.000.000;500;54325000;property, plant and equipment;192094000;>=100000000 dan < 200000000;750;Tabungan dan deposito;8816468000;>=2000000000;1000;9069543000;>=7000000000;1000;454185000;8615358000;0,05;excellent;950;0,95;excellent;950;0,05;excellent;950;94624000;32732000;61892000;arus kas positif;1000;887,5
Ashley Evans;54309000;>=25.000.000;1000;57761000;asset keluarga ;128953000;>=100000000 dan < 200000000;750;Rumah dan properti;5446334000;>=2000000000;1000;5687357000;>=5000000000 dan < 7000000000;1000;188185000;5499172000;0,03;excellent;970;0,97;excellent;970;0,03;excellent;970;68395000;21787000;46608000;arus kas positif;1000;957,5
Matthew Jones;59490000;>=25.000.000;1000;55849000;asset keluarga ;869963000;>=200000000;1000;Kendaraan;6495132000;>=2000000000;1000;7480434000;>=7000000000;1000;769402000;6711032000;0,1;excellent;900;0,9;excellent;900;0,11;excellent;890;52729000;97154000;-44425000;arus kas negatif;0;836,25
Shannon Davis;63753000;>=25.000.000;1000;94103000;property, plant and equipment;144337000;>=100000000 dan < 200000000;750;Rumah dan properti;2524229000;>=2000000000;1000;2826422000;>= 1000000000 dan <5000000000;500;762815000;2063607000;0,27;excellent;730;0,73;excellent;730;0,37;good;630;30768000;18511000;12257000;arus kas positif;1000;792,5
Jimmy Evans;25280000;>=25.000.000;1000;70424000;asset keluarga ;422668000;>=200000000;1000;Dana pensiun;3992195000;>=2000000000;1000;4510567000;>= 1000000000 dan <5000000000;500;505385000;4005182000;0,11;excellent;890;0,89;excellent;890;0,13;excellent;870;96522000;38735000;57787000;arus kas positif;1000;893,75
Mrs. Barbara Jones DVM;14569000;>= 5.000.000 dan <15.000.000;500;41274000;property, plant and equipment;389542000;>=200000000;1000;Aset finansial lainnya;498552000;<500000000;250;943937000;<1000000000;250;936520000;7417000;0,99;bad;10;0,01;bad;10;126,27;bad;-125270;84449000;89050000;-4601000;arus kas negatif;0;-15406,25
Lori Lester;54060000;>=25.000.000;1000;71733000;property, plant and equipment;139393000;>=100000000 dan < 200000000;750;Investasi;2463304000;>=2000000000;1000;2728490000;>= 1000000000 dan <5000000000;500;189862000;2538628000;0,07;excellent;930;0,93;excellent;930;0,07;excellent;930;92464000;53383000;39081000;arus kas positif;1000;880
Patrick Reeves;8726000;>= 5.000.000 dan <15.000.000;500;10508000;asset keluarga ;162125000;>=100000000 dan < 200000000;750;Dana pensiun;1432859000;>=1000000000 dan < 2000000000;750;1614218000;>= 1000000000 dan <5000000000;500;810434000;803784000;0,5;good;500;0,5;good;500;1,01;bad;-10;53999000;93880000;-39881000;arus kas negatif;0;436,25
Christopher Hill;15714000;>=15.000.000 dan < 25.000.000;750;32085000;inventory;189256000;>=100000000 dan < 200000000;750;Rumah dan properti;6070006000;>=2000000000;1000;6307061000;>=5000000000 dan < 7000000000;500;732301000;5574760000;0,12;excellent;880;0,88;excellent;880;0,13;excellent;870;40914000;99841000;-58927000;arus kas negatif;0;703,75
Michael Bailey;12315000;>= 5.000.000 dan <15.000.000;500;43093000;inventory;435962000;>=200000000;1000;Investasi;7944381000;>=2000000000;1000;8435751000;>=7000000000;1000;458213000;7977538000;0,05;excellent;950;0,95;excellent;950;0,06;excellent;940;21428000;89301000;-67873000;arus kas negatif;0;792,5
Dylan Pineda;76664000;>=25.000.000;1000;67842000;inventory;308503000;>=200000000;1000;Aset finansial lainnya;1967966000;>=1000000000 dan < 2000000000;750;2420975000;>= 1000000000 dan <5000000000;500;915341000;1505634000;0,38;good;620;0,62;good;620;0,61;good;390;72116000;80188000;-8072000;arus kas negatif;0;610
Nathan Martin;33599000;>=25.000.000;1000;68926000;inventory;696572000;>=200000000;1000;Kendaraan;325563000;<500000000;250;1124660000;>= 1000000000 dan <5000000000;500;691012000;433648000;0,61;bad;390;0,39;bad;390;1,59;bad;-590;53431000;50018000;3413000;arus kas positif;1000;492,5
Jason Hamilton;34555000;>=25.000.000;1000;16447000;inventory;604119000;>=200000000;1000;Investasi;349889000;<500000000;250;1005010000;>= 1000000000 dan <5000000000;500;509782000;495228000;0,51;good;490;0,49;good;490;1,03;bad;-30;43921000;69596000;-25675000;arus kas negatif;0;462,5
Robert Soto;83643000;>=25.000.000;1000;82276000;inventory;743527000;>=200000000;1000;Dana pensiun;4368478000;>=2000000000;1000;5277924000;>=5000000000 dan < 7000000000;500;284372000;4993552000;0,05;excellent;950;0,95;excellent;950;0,06;excellent;940;67849000;11516000;56333000;arus kas positif;1000;917,5
Jason May;98802000;>=25.000.000;1000;33120000;inventory;355370000;>=200000000;1000;Dana pensiun;2474839000;>=2000000000;1000;2962131000;>= 1000000000 dan <5000000000;500;201198000;2760933000;0,07;excellent;930;0,93;excellent;930;0,07;excellent;930;51760000;10997000;40763000;arus kas positif;1000;911,25
Taylor Ramos DDS;88297000;>=25.000.000;1000;23968000;asset keluarga ;66849000;>= 50000000 dan <100000000;500;Investasi;9870330000;>=2000000000;1000;10049444000;>=7000000000;1000;338292000;9711152000;0,03;excellent;970;0,97;excellent;970;0,03;excellent;970;22653000;73945000;-51292000;arus kas negatif;0;801,25
Suzanne Holland;59748000;>=25.000.000;1000;86457000;asset keluarga ;619787000;>=200000000;1000;Investasi;1551315000;>=1000000000 dan < 2000000000;750;2317307000;>= 1000000000 dan <5000000000;500;313391000;2003916000;0,14;excellent;860;0,86;excellent;860;0,16;excellent;840;79148000;12576000;66572000;arus kas positif;1000;851,25
Tristan Brown;71274000;>=25.000.000;1000;64127000;inventory;592958000;>=200000000;1000;Dana pensiun;9369023000;>=2000000000;1000;10097382000;>=7000000000;1000;779839000;9317543000;0,08;excellent;920;0,92;excellent;920;0,08;excellent;920;27604000;54114000;-26510000;arus kas negatif;0;845
Kevin Bauer;96681000;>=25.000.000;1000;27820000;property, plant and equipment;685268000;>=200000000;1000;Aset finansial lainnya;5430222000;>=2000000000;1000;6239991000;>=5000000000 dan < 7000000000;1000;376987000;5863004000;0,06;excellent;940;0,94;excellent;940;0,06;excellent;940;81086000;11872000;69214000;arus kas positif;1000;977,5
James Mack;91179000;>=25.000.000;1000;91974000;asset keluarga ;246666000;>=200000000;1000;Dana pensiun;3162060000;>=2000000000;1000;3591879000;>= 1000000000 dan <5000000000;500;653449000;2938430000;0,18;excellent;820;0,82;excellent;820;0,22;excellent;780;36041000;72422000;-36381000;arus kas negatif;0;740
Allison Lawrence;92790000;>=25.000.000;1000;13107000;asset keluarga ;684705000;>=200000000;1000;Kendaraan;2774052000;>=2000000000;1000;3564654000;>= 1000000000 dan <5000000000;500;339600000;3225054000;0,1;excellent;900;0,9;excellent;900;0,11;excellent;890;70882000;83232000;-12350000;arus kas negatif;0;773,75
Jason Martinez;38676000;>=25.000.000;1000;14624000;property, plant and equipment;951134000;>=200000000;1000;Rumah dan properti;9175124000;>=2000000000;1000;10179558000;>=7000000000;1000;718813000;9460745000;0,07;excellent;930;0,93;excellent;930;0,08;excellent;920;60038000;64960000;-4922000;arus kas negatif;0;847,5
Mark Wise;83570000;>=25.000.000;1000;58589000;inventory;842130000;>=200000000;1000;Investasi;6443852000;>=2000000000;1000;7428141000;>=7000000000;1000;536328000;6891813000;0,07;excellent;930;0,93;excellent;930;0,08;excellent;920;40683000;15898000;24785000;arus kas positif;1000;972,5
Robin Hawkins;25808000;>=25.000.000;1000;33383000;property, plant and equipment;957391000;>=200000000;1000;Aset finansial lainnya;8524743000;>=2000000000;1000;9541325000;>=7000000000;1000;450552000;9090773000;0,05;excellent;950;0,95;excellent;950;0,05;excellent;950;23479000;81292000;-57813000;arus kas negatif;0;856,25
Briana Smith MD;83189000;>=25.000.000;1000;42247000;inventory;594653000;>=200000000;1000;Aset finansial lainnya;6577942000;>=2000000000;1000;7298031000;>=7000000000;1000;410215000;6887816000;0,06;excellent;940;0,94;excellent;940;0,06;excellent;940;60216000;28647000;31569000;arus kas positif;1000;977,5
